ingredient,Biotin,"Calcium, Ca","Carbohydrate, by difference",Cholesterol,"Choline, total","Copper, Cu","Fatty acids, total saturated","Fiber, total dietary","Folate, total","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Total lipid (fat),"Vitamin A, IU",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
brie,0.0,269.2307692307692,0.0,0.3566666666666667,0.0,0.0,1.0699999999999998,0.0,0.0,0.19833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358,0.0,0.0,0.31043478260869567,0.0,0.4115384615384616,0.9922222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brine,0.0,0.01769230769230769,0.0,0.3566666666666667,0.0,0.0,0.3485,0.0,0.0,0.25,0.0,0.0,0.0,0.7375,0.0,0.0,0.14893617021276595,0.7979999999999999,0.2153846153846154,0.0,0.30130434782608695,0.05,0.38461538461538464,0.5855555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brisket,0.0,0.005384615384615384,0.0,0.30666666666666664,0.18363636363636363,0.11888888888888888,0.3735,0.0,0.0175,0.13944444444444443,0.05,0.0,0.0,0.20875,0.0,0.1712,0.054680851063829784,0.532,0.1523076923076923,0.42000000000000004,0.16826086956521738,0.05750000000000001,0.2487179487179487,0.0,1.0125000000000002,0.15764705882352942,0.0,0.015,0.012666666666666666,0.015000000000000001,0.5372727272727272
broccoli,0.0,0.031538461538461536,0.019672727272727272,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.04055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054000000000000006,0.0,0.0,0.023478260869565216,0.0,0.00435897435897436,0.22555555555555556,0.0,0.0,0.9911111111111112,0.0,0.0,0.0,0.0
broccoli rabe,0.0,0.06153846153846154,0.017127272727272727,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.06555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.07319148936170213,0.047,0.0,0.0,0.017826086956521738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brown rice,0.0,0.007692307692307693,0.2770909090909091,0.0,0.0,0.0,0.0,0.17142857142857143,0.0,0.1322222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.05319148936170213,0.14279999999999998,0.0,0.0,0.0,0.0,0.04576923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brussel sprout,0.0,0.03230769230769231,0.032545454545454544,0.0,0.03472727272727273,0.07777777777777778,0.0031,0.1357142857142857,0.1525,0.07777777777777778,0.05476190476190476,0.0,0.0,0.0465625,0.0,0.0552,0.08276595744680851,0.0676,0.06923076923076922,0.02909090909090909,0.010869565217391304,0.11583333333333334,0.003846153846153846,0.0,0.0,0.1288235294117647,0.9444444444444444,0.0,0.058666666666666666,1.475,0.03818181818181818
bulgur,0.0,0.03461538461538462,0.24363636363636362,0.0,0.0,0.0,0.028499999999999998,0.2857142857142857,0.0,0.0911111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.004782608695652174,0.0,0.029102564102564104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.0,0.018461538461538463,0.008545454545454545,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.07055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236,0.0,0.0,0.0,0.0,0.0,3.922222222222222,0.0,0.0,0.04666666666666667,0.0,0.0,0.0,0.0
buttermilk,0.0,0.09615384615384616,0.01970909090909091,0.013333333333333334,0.0,0.0,0.020999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.0,0.0,0.07434782608695652,0.0,0.005384615384615384,0.2311111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
